"","x","y","posisi","jalur","type","species","sistem"
"114",43.45,49.95,19,6,"Karet","Karet","regen"
"115",16.35,1,1,1,"Naungan","Kemiri","regen"
"116",16.35,7,2,1,"Naungan","Meranti bunga","regen"
"117",16.35,13,3,1,"Naungan","Petai","regen"
"118",16.35,19,4,1,"Naungan","Jengkol","regen"
"119",16.35,25,5,1,"Naungan","Cempedak","regen"
"120",16.35,31,6,1,"Naungan","Durian hutan","regen"
"121",16.35,37,7,1,"Naungan","Kemiri","regen"
"122",16.35,43,8,1,"Naungan","Meranti bunga","regen"
"123",16.35,49,9,1,"Naungan","Petai","regen"
"124",33.65,1,1,2,"Naungan","Jengkol","regen"
"125",33.65,7,2,2,"Naungan","Cempedak","regen"
"126",33.65,13,3,2,"Naungan","Durian hutan","regen"
"127",33.65,19,4,2,"Naungan","Kemiri","regen"
"128",33.65,25,5,2,"Naungan","Meranti bunga","regen"
"129",33.65,31,6,2,"Naungan","Petai","regen"
"130",33.65,37,7,2,"Naungan","Jengkol","regen"
"131",33.65,43,8,2,"Naungan","Cempedak","regen"
"132",33.65,49,9,2,"Naungan","Durian hutan","regen"
