"","x","y","posisi","jalur","type","species","sistem"
"107",43.45,31.05,12,6,"Karet","Karet","kompleks"
"108",43.45,33.75,13,6,"Karet","Karet","kompleks"
"109",43.45,36.45,14,6,"Karet","Karet","kompleks"
"110",43.45,39.15,15,6,"Karet","Karet","kompleks"
"111",43.45,41.85,16,6,"Karet","Karet","kompleks"
"112",43.45,44.55,17,6,"Karet","Karet","kompleks"
"113",43.45,47.25,18,6,"Karet","Karet","kompleks"
"114",43.45,49.95,19,6,"Karet","Karet","kompleks"
"115",2.05,2,1,1,"Cahaya","Sungkai","kompleks"
"116",2.05,6,2,1,"Cahaya","Sungkai","kompleks"
"117",2.05,10,3,1,"Cahaya","Sungkai","kompleks"
"118",2.05,14,4,1,"Cahaya","Sungkai","kompleks"
"119",2.05,18,5,1,"Cahaya","Sungkai","kompleks"
"120",2.05,22,6,1,"Cahaya","Sungkai","kompleks"
"121",2.05,26,7,1,"Cahaya","Sungkai","kompleks"
"122",2.05,30,8,1,"Cahaya","Sungkai","kompleks"
"123",2.05,34,9,1,"Cahaya","Sungkai","kompleks"
"124",2.05,38,10,1,"Cahaya","Sungkai","kompleks"
"125",2.05,42,11,1,"Cahaya","Sungkai","kompleks"
"126",2.05,46,12,1,"Cahaya","Sungkai","kompleks"
"127",2.05,50,13,1,"Cahaya","Sungkai","kompleks"
"128",13.35,0,1,2,"Cahaya","Jabon","kompleks"
"129",13.35,4,2,2,"Cahaya","Jabon","kompleks"
"130",13.35,8,3,2,"Cahaya","Jabon","kompleks"
"131",13.35,12,4,2,"Cahaya","Jabon","kompleks"
"132",13.35,16,5,2,"Cahaya","Jabon","kompleks"
"133",13.35,20,6,2,"Cahaya","Jabon","kompleks"
"134",13.35,24,7,2,"Cahaya","Jabon","kompleks"
"135",13.35,28,8,2,"Cahaya","Jabon","kompleks"
"136",13.35,32,9,2,"Cahaya","Jabon","kompleks"
"137",13.35,36,10,2,"Cahaya","Jabon","kompleks"
"138",13.35,40,11,2,"Cahaya","Jabon","kompleks"
"139",13.35,44,12,2,"Cahaya","Jabon","kompleks"
"140",13.35,48,13,2,"Cahaya","Jabon","kompleks"
"141",19.35,2,1,3,"Cahaya","Sungkai","kompleks"
"142",19.35,6,2,3,"Cahaya","Sungkai","kompleks"
"143",19.35,10,3,3,"Cahaya","Sungkai","kompleks"
"144",19.35,14,4,3,"Cahaya","Sungkai","kompleks"
"145",19.35,18,5,3,"Cahaya","Sungkai","kompleks"
"146",19.35,22,6,3,"Cahaya","Sungkai","kompleks"
"147",19.35,26,7,3,"Cahaya","Sungkai","kompleks"
"148",19.35,30,8,3,"Cahaya","Sungkai","kompleks"
"149",19.35,34,9,3,"Cahaya","Sungkai","kompleks"
"150",19.35,38,10,3,"Cahaya","Sungkai","kompleks"
"151",19.35,42,11,3,"Cahaya","Sungkai","kompleks"
"152",19.35,46,12,3,"Cahaya","Sungkai","kompleks"
"153",19.35,50,13,3,"Cahaya","Sungkai","kompleks"
"154",30.65,0,1,4,"Cahaya","Jabon","kompleks"
"155",30.65,4,2,4,"Cahaya","Jabon","kompleks"
"156",30.65,8,3,4,"Cahaya","Jabon","kompleks"
"157",30.65,12,4,4,"Cahaya","Jabon","kompleks"
"158",30.65,16,5,4,"Cahaya","Jabon","kompleks"
"159",30.65,20,6,4,"Cahaya","Jabon","kompleks"
"160",30.65,24,7,4,"Cahaya","Jabon","kompleks"
"161",30.65,28,8,4,"Cahaya","Jabon","kompleks"
"162",30.65,32,9,4,"Cahaya","Jabon","kompleks"
"163",30.65,36,10,4,"Cahaya","Jabon","kompleks"
"164",30.65,40,11,4,"Cahaya","Jabon","kompleks"
"165",30.65,44,12,4,"Cahaya","Jabon","kompleks"
"166",30.65,48,13,4,"Cahaya","Jabon","kompleks"
"167",36.65,2,1,5,"Cahaya","Sungkai","kompleks"
"168",36.65,6,2,5,"Cahaya","Sungkai","kompleks"
"169",36.65,10,3,5,"Cahaya","Sungkai","kompleks"
"170",36.65,14,4,5,"Cahaya","Sungkai","kompleks"
"171",36.65,18,5,5,"Cahaya","Sungkai","kompleks"
"172",36.65,22,6,5,"Cahaya","Sungkai","kompleks"
"173",36.65,26,7,5,"Cahaya","Sungkai","kompleks"
"174",36.65,30,8,5,"Cahaya","Sungkai","kompleks"
"175",36.65,34,9,5,"Cahaya","Sungkai","kompleks"
"176",36.65,38,10,5,"Cahaya","Sungkai","kompleks"
"177",36.65,42,11,5,"Cahaya","Sungkai","kompleks"
"178",36.65,46,12,5,"Cahaya","Sungkai","kompleks"
"179",36.65,50,13,5,"Cahaya","Sungkai","kompleks"
"180",47.95,0,1,6,"Cahaya","Jabon","kompleks"
"181",47.95,4,2,6,"Cahaya","Jabon","kompleks"
"182",47.95,8,3,6,"Cahaya","Jabon","kompleks"
"183",47.95,12,4,6,"Cahaya","Jabon","kompleks"
"184",47.95,16,5,6,"Cahaya","Jabon","kompleks"
"185",47.95,20,6,6,"Cahaya","Jabon","kompleks"
"186",47.95,24,7,6,"Cahaya","Jabon","kompleks"
"187",47.95,28,8,6,"Cahaya","Jabon","kompleks"
"188",47.95,32,9,6,"Cahaya","Jabon","kompleks"
"189",47.95,36,10,6,"Cahaya","Jabon","kompleks"
"190",47.95,40,11,6,"Cahaya","Jabon","kompleks"
"191",47.95,44,12,6,"Cahaya","Jabon","kompleks"
"192",47.95,48,13,6,"Cahaya","Jabon","kompleks"
"193",16.35,0,1,1,"Naungan","Kemiri","kompleks"
"194",16.35,6,2,1,"Naungan","Meranti bunga","kompleks"
"195",16.35,12,3,1,"Naungan","Petai","kompleks"
"196",16.35,18,4,1,"Naungan","Jengkol","kompleks"
"197",16.35,24,5,1,"Naungan","Cempedak","kompleks"
"198",16.35,30,6,1,"Naungan","Durian hutan","kompleks"
"199",16.35,36,7,1,"Naungan","Kemiri","kompleks"
"200",16.35,42,8,1,"Naungan","Meranti bunga","kompleks"
"201",16.35,48,9,1,"Naungan","Petai","kompleks"
"202",33.65,0,1,2,"Naungan","Jengkol","kompleks"
"203",33.65,6,2,2,"Naungan","Cempedak","kompleks"
"204",33.65,12,3,2,"Naungan","Durian hutan","kompleks"
"205",33.65,18,4,2,"Naungan","Kemiri","kompleks"
"206",33.65,24,5,2,"Naungan","Meranti bunga","kompleks"
"207",33.65,30,6,2,"Naungan","Petai","kompleks"
"208",33.65,36,7,2,"Naungan","Jengkol","kompleks"
"209",33.65,42,8,2,"Naungan","Cempedak","kompleks"
"210",33.65,48,9,2,"Naungan","Durian hutan","kompleks"
