"","x","y","row","col","tipe","jenis","sistem"
"513",23.85,37.8,15,3,"karet","karet","regen"
"514",23.85,40.5,16,3,"karet","karet","regen"
"515",23.85,43.2,17,3,"karet","karet","regen"
"516",23.85,45.9,18,3,"karet","karet","regen"
"517",23.85,48.6,19,3,"karet","karet","regen"
"518",26.15,1.35,1,4,"karet","karet","regen"
"519",26.15,4.05,2,4,"karet","karet","regen"
"520",26.15,6.75,3,4,"karet","karet","regen"
"521",26.15,9.45,4,4,"karet","karet","regen"
"522",26.15,12.15,5,4,"karet","karet","regen"
"523",26.15,14.85,6,4,"karet","karet","regen"
"524",26.15,17.55,7,4,"karet","karet","regen"
"525",26.15,20.25,8,4,"karet","karet","regen"
"526",26.15,22.95,9,4,"karet","karet","regen"
"527",26.15,25.65,10,4,"karet","karet","regen"
"528",26.15,28.35,11,4,"karet","karet","regen"
"529",26.15,31.05,12,4,"karet","karet","regen"
"530",26.15,33.75,13,4,"karet","karet","regen"
"531",26.15,36.45,14,4,"karet","karet","regen"
"532",26.15,39.15,15,4,"karet","karet","regen"
"533",26.15,41.85,16,4,"karet","karet","regen"
"534",26.15,44.55,17,4,"karet","karet","regen"
"535",26.15,47.25,18,4,"karet","karet","regen"
"536",26.15,49.95,19,4,"karet","karet","regen"
"537",41.15,0,1,5,"karet","karet","regen"
"538",41.15,2.7,2,5,"karet","karet","regen"
"539",41.15,5.4,3,5,"karet","karet","regen"
"540",41.15,8.1,4,5,"karet","karet","regen"
"541",41.15,10.8,5,5,"karet","karet","regen"
"542",41.15,13.5,6,5,"karet","karet","regen"
"543",41.15,16.2,7,5,"karet","karet","regen"
"544",41.15,18.9,8,5,"karet","karet","regen"
"545",41.15,21.6,9,5,"karet","karet","regen"
"546",41.15,24.3,10,5,"karet","karet","regen"
"547",41.15,27,11,5,"karet","karet","regen"
"548",41.15,29.7,12,5,"karet","karet","regen"
"549",41.15,32.4,13,5,"karet","karet","regen"
"550",41.15,35.1,14,5,"karet","karet","regen"
"551",41.15,37.8,15,5,"karet","karet","regen"
"552",41.15,40.5,16,5,"karet","karet","regen"
"553",41.15,43.2,17,5,"karet","karet","regen"
"554",41.15,45.9,18,5,"karet","karet","regen"
"555",41.15,48.6,19,5,"karet","karet","regen"
"556",43.45,1.35,1,6,"karet","karet","regen"
"557",43.45,4.05,2,6,"karet","karet","regen"
"558",43.45,6.75,3,6,"karet","karet","regen"
"559",43.45,9.45,4,6,"karet","karet","regen"
"560",43.45,12.15,5,6,"karet","karet","regen"
"561",43.45,14.85,6,6,"karet","karet","regen"
"562",43.45,17.55,7,6,"karet","karet","regen"
"563",43.45,20.25,8,6,"karet","karet","regen"
"564",43.45,22.95,9,6,"karet","karet","regen"
"565",43.45,25.65,10,6,"karet","karet","regen"
"566",43.45,28.35,11,6,"karet","karet","regen"
"567",43.45,31.05,12,6,"karet","karet","regen"
"568",43.45,33.75,13,6,"karet","karet","regen"
"569",43.45,36.45,14,6,"karet","karet","regen"
"570",43.45,39.15,15,6,"karet","karet","regen"
"571",43.45,41.85,16,6,"karet","karet","regen"
"572",43.45,44.55,17,6,"karet","karet","regen"
"573",43.45,47.25,18,6,"karet","karet","regen"
"574",43.45,49.95,19,6,"karet","karet","regen"
"575",16.35,1,1,1,"shade","Durian hutan","regen"
"576",16.35,7,2,1,"shade","Cempedak","regen"
"577",16.35,13,3,1,"shade","Kemiri","regen"
"578",16.35,19,4,1,"shade","Meranti bunga","regen"
"579",16.35,25,5,1,"shade","Durian hutan","regen"
"580",16.35,31,6,1,"shade","Cempedak","regen"
"581",16.35,37,7,1,"shade","Kemiri","regen"
"582",16.35,43,8,1,"shade","Meranti bunga","regen"
"583",16.35,49,9,1,"shade","Durian hutan","regen"
"584",33.65,1,1,2,"shade","Cempedak","regen"
"585",33.65,7,2,2,"shade","Kemiri","regen"
"586",33.65,13,3,2,"shade","Meranti bunga","regen"
"587",33.65,19,4,2,"shade","Durian hutan","regen"
"588",33.65,25,5,2,"shade","Cempedak","regen"
"589",33.65,31,6,2,"shade","Kemiri","regen"
"590",33.65,37,7,2,"shade","Meranti bunga","regen"
"591",33.65,43,8,2,"shade","Durian hutan","regen"
"592",33.65,49,9,2,"shade","Cempedak","regen"
