"","x","y","row","col","tipe","jenis","sistem"
"123",6.55,21.6,9,1,"karet","karet","dasar"
"124",6.55,24.3,10,1,"karet","karet","dasar"
"125",6.55,27,11,1,"karet","karet","dasar"
"126",6.55,29.7,12,1,"karet","karet","dasar"
"127",6.55,32.4,13,1,"karet","karet","dasar"
"128",6.55,35.1,14,1,"karet","karet","dasar"
"129",6.55,37.8,15,1,"karet","karet","dasar"
"130",6.55,40.5,16,1,"karet","karet","dasar"
"131",6.55,43.2,17,1,"karet","karet","dasar"
"132",6.55,45.9,18,1,"karet","karet","dasar"
"133",6.55,48.6,19,1,"karet","karet","dasar"
"134",8.85,1.35,1,2,"karet","karet","dasar"
"135",8.85,4.05,2,2,"karet","karet","dasar"
"136",8.85,6.75,3,2,"karet","karet","dasar"
"137",8.85,9.45,4,2,"karet","karet","dasar"
"138",8.85,12.15,5,2,"karet","karet","dasar"
"139",8.85,14.85,6,2,"karet","karet","dasar"
"140",8.85,17.55,7,2,"karet","karet","dasar"
"141",8.85,20.25,8,2,"karet","karet","dasar"
"142",8.85,22.95,9,2,"karet","karet","dasar"
"143",8.85,25.65,10,2,"karet","karet","dasar"
"144",8.85,28.35,11,2,"karet","karet","dasar"
"145",8.85,31.05,12,2,"karet","karet","dasar"
"146",8.85,33.75,13,2,"karet","karet","dasar"
"147",8.85,36.45,14,2,"karet","karet","dasar"
"148",8.85,39.15,15,2,"karet","karet","dasar"
"149",8.85,41.85,16,2,"karet","karet","dasar"
"150",8.85,44.55,17,2,"karet","karet","dasar"
"151",8.85,47.25,18,2,"karet","karet","dasar"
"152",8.85,49.95,19,2,"karet","karet","dasar"
"153",23.85,0,1,3,"karet","karet","dasar"
"154",23.85,2.7,2,3,"karet","karet","dasar"
"155",23.85,5.4,3,3,"karet","karet","dasar"
"156",23.85,8.1,4,3,"karet","karet","dasar"
"157",23.85,10.8,5,3,"karet","karet","dasar"
"158",23.85,13.5,6,3,"karet","karet","dasar"
"159",23.85,16.2,7,3,"karet","karet","dasar"
"160",23.85,18.9,8,3,"karet","karet","dasar"
"161",23.85,21.6,9,3,"karet","karet","dasar"
"162",23.85,24.3,10,3,"karet","karet","dasar"
"163",23.85,27,11,3,"karet","karet","dasar"
"164",23.85,29.7,12,3,"karet","karet","dasar"
"165",23.85,32.4,13,3,"karet","karet","dasar"
"166",23.85,35.1,14,3,"karet","karet","dasar"
"167",23.85,37.8,15,3,"karet","karet","dasar"
"168",23.85,40.5,16,3,"karet","karet","dasar"
"169",23.85,43.2,17,3,"karet","karet","dasar"
"170",23.85,45.9,18,3,"karet","karet","dasar"
"171",23.85,48.6,19,3,"karet","karet","dasar"
"172",26.15,1.35,1,4,"karet","karet","dasar"
"173",26.15,4.05,2,4,"karet","karet","dasar"
"174",26.15,6.75,3,4,"karet","karet","dasar"
"175",26.15,9.45,4,4,"karet","karet","dasar"
"176",26.15,12.15,5,4,"karet","karet","dasar"
"177",26.15,14.85,6,4,"karet","karet","dasar"
"178",26.15,17.55,7,4,"karet","karet","dasar"
"179",26.15,20.25,8,4,"karet","karet","dasar"
"180",26.15,22.95,9,4,"karet","karet","dasar"
"181",26.15,25.65,10,4,"karet","karet","dasar"
"182",26.15,28.35,11,4,"karet","karet","dasar"
"183",26.15,31.05,12,4,"karet","karet","dasar"
"184",26.15,33.75,13,4,"karet","karet","dasar"
"185",26.15,36.45,14,4,"karet","karet","dasar"
"186",26.15,39.15,15,4,"karet","karet","dasar"
"187",26.15,41.85,16,4,"karet","karet","dasar"
"188",26.15,44.55,17,4,"karet","karet","dasar"
