"","x","y","posisi","jalur","type","species","sistem"
"45",23.85,16.2,7,3,"Karet","Karet","dasar"
"46",23.85,18.9,8,3,"Karet","Karet","dasar"
"47",23.85,21.6,9,3,"Karet","Karet","dasar"
"48",23.85,24.3,10,3,"Karet","Karet","dasar"
"49",23.85,27,11,3,"Karet","Karet","dasar"
"50",23.85,29.7,12,3,"Karet","Karet","dasar"
"51",23.85,32.4,13,3,"Karet","Karet","dasar"
"52",23.85,35.1,14,3,"Karet","Karet","dasar"
"53",23.85,37.8,15,3,"Karet","Karet","dasar"
"54",23.85,40.5,16,3,"Karet","Karet","dasar"
"55",23.85,43.2,17,3,"Karet","Karet","dasar"
"56",23.85,45.9,18,3,"Karet","Karet","dasar"
"57",23.85,48.6,19,3,"Karet","Karet","dasar"
"58",26.15,1.35,1,4,"Karet","Karet","dasar"
"59",26.15,4.05,2,4,"Karet","Karet","dasar"
"60",26.15,6.75,3,4,"Karet","Karet","dasar"
"61",26.15,9.45,4,4,"Karet","Karet","dasar"
"62",26.15,12.15,5,4,"Karet","Karet","dasar"
"63",26.15,14.85,6,4,"Karet","Karet","dasar"
"64",26.15,17.55,7,4,"Karet","Karet","dasar"
"65",26.15,20.25,8,4,"Karet","Karet","dasar"
"66",26.15,22.95,9,4,"Karet","Karet","dasar"
"67",26.15,25.65,10,4,"Karet","Karet","dasar"
"68",26.15,28.35,11,4,"Karet","Karet","dasar"
"69",26.15,31.05,12,4,"Karet","Karet","dasar"
"70",26.15,33.75,13,4,"Karet","Karet","dasar"
"71",26.15,36.45,14,4,"Karet","Karet","dasar"
"72",26.15,39.15,15,4,"Karet","Karet","dasar"
"73",26.15,41.85,16,4,"Karet","Karet","dasar"
"74",26.15,44.55,17,4,"Karet","Karet","dasar"
"75",26.15,47.25,18,4,"Karet","Karet","dasar"
"76",26.15,49.95,19,4,"Karet","Karet","dasar"
"77",41.15,0,1,5,"Karet","Karet","dasar"
"78",41.15,2.7,2,5,"Karet","Karet","dasar"
"79",41.15,5.4,3,5,"Karet","Karet","dasar"
"80",41.15,8.1,4,5,"Karet","Karet","dasar"
"81",41.15,10.8,5,5,"Karet","Karet","dasar"
"82",41.15,13.5,6,5,"Karet","Karet","dasar"
"83",41.15,16.2,7,5,"Karet","Karet","dasar"
"84",41.15,18.9,8,5,"Karet","Karet","dasar"
"85",41.15,21.6,9,5,"Karet","Karet","dasar"
"86",41.15,24.3,10,5,"Karet","Karet","dasar"
"87",41.15,27,11,5,"Karet","Karet","dasar"
"88",41.15,29.7,12,5,"Karet","Karet","dasar"
"89",41.15,32.4,13,5,"Karet","Karet","dasar"
"90",41.15,35.1,14,5,"Karet","Karet","dasar"
"91",41.15,37.8,15,5,"Karet","Karet","dasar"
"92",41.15,40.5,16,5,"Karet","Karet","dasar"
"93",41.15,43.2,17,5,"Karet","Karet","dasar"
"94",41.15,45.9,18,5,"Karet","Karet","dasar"
"95",41.15,48.6,19,5,"Karet","Karet","dasar"
"96",43.45,1.35,1,6,"Karet","Karet","dasar"
"97",43.45,4.05,2,6,"Karet","Karet","dasar"
"98",43.45,6.75,3,6,"Karet","Karet","dasar"
"99",43.45,9.45,4,6,"Karet","Karet","dasar"
"100",43.45,12.15,5,6,"Karet","Karet","dasar"
"101",43.45,14.85,6,6,"Karet","Karet","dasar"
"102",43.45,17.55,7,6,"Karet","Karet","dasar"
"103",43.45,20.25,8,6,"Karet","Karet","dasar"
"104",43.45,22.95,9,6,"Karet","Karet","dasar"
"105",43.45,25.65,10,6,"Karet","Karet","dasar"
"106",43.45,28.35,11,6,"Karet","Karet","dasar"
